lipid_id,head,amino_acid,tail,amino_acid_full,aa_proteinogenic,head_description,log2_luc_pred,log2_luc_paper,log2_is_paper_verified,below_heatmap_floor,R,G,B,size_px,darkness
CHEth-15,CH,Eth,15,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",7.095341883197737,,0,0,209.11512415349887,183.07248557812892,210.94507148231753,3987,35.46302083333333
CHEth-16,CH,Eth,16,ethionine,0,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,203.40112826603325,195.00712589073635,215.4709026128266,3368,28.757083333333355
CHGln-1,CH,Gln,1,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,181.4188351920694,203.97645600991325,211.11276332094175,2421,23.640781250000003
CHGln-2,CH,Gln,2,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.13760162745724,,0,1,210.36565934065933,191.57142857142858,216.03186813186812,3640,30.102083333333354
CHGln-3,CH,Gln,3,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,208.5904048807543,191.7379367720466,216.1328341652801,3606,30.053697916666636
CHGln-4,CH,Gln,4,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,195.56142065819486,198.40729879439556,213.99869664385793,3069,27.299583333333345
CHGln-5,CH,Gln,5,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,182.17297517297519,203.84940984940985,211.0875050875051,2457,23.886822916666688
CHGln-6,CH,Gln,6,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,184.68211664735418,202.75473155658557,211.89532638084202,2589,24.646666666666675
CHGln-7,CH,Gln,7,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,191.20168361978253,200.41178533847773,212.34970185899684,2851,26.223333333333358
CHGln-8,CH,Gln,8,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,190.19642857142858,200.33035714285714,212.27607142857144,2800,26.02354166666663
CHGln-9,CH,Gln,9,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.486420946835338,,0,1,211.32595193086686,190.65703483661895,216.98433702403457,3703,30.37994791666665
CHGln-10,CH,Gln,10,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",16.271647811161493,15.8276652,1,0,165.9764705882353,101.13475935828878,150.46898395721925,5610,102.20973958333332
CHGln-11,CH,Gln,11,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",6.6376819931471225,,0,0,209.85944700460828,185.62570404505888,212.64413722478238,3906,34.01541666666665
CHGln-12,CH,Gln,12,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,198.31145996860283,197.40784929356357,213.96012558869703,3185,27.892083333333318
CHGln-13,CH,Gln,13,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,193.88791357191087,199.3835246455098,213.19074949358543,2962,26.75609374999999
CHGln-14,CH,Gln,14,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,176.91017964071855,206.42008291110088,210.80746199907875,2171,21.81802083333335
CHGln-15,CH,Gln,15,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,186.11766917293232,201.61278195488723,211.67443609022556,2660,25.29869791666664
CHGln-16,CH,Gln,16,glutamine,1,"cyclic head (cyclohexyl- isocyanide, rigid)",5.0,,0,1,189.51703335699077,200.53122782114974,212.42689850958126,2818,26.120156250000008
